task,trial,score,model,sig_layout,sig_visual,sig_component,sig_text,sig_style
healthcare_clinic__glassy_pastel-001,healthcare_clinic__glassy_pastel__UXpnm3J,0.608426670471483,anthropic/claude-opus-4-7,0.5701523839774074,0.4708348541050958,0.7781362262133156,0.8318669912002685,0.9218023784513686
healthcare_clinic__glassy_pastel-001,healthcare_clinic__glassy_pastel__dCPLRej,0.6366481517549517,anthropic/claude-opus-4-7,0.6019664301119073,0.458240766066481,0.784854694386339,0.6395268274599436,0.8757601699821446
healthcare_clinic__glassy_pastel-001,healthcare_clinic__glassy_pastel__e6ix4pp,0.6830073136300701,anthropic/claude-opus-4-7,0.5964147157979731,0.4568290880133857,0.8492332998141163,0.8612565284247049,0.8923327007797603
healthcare_clinic__glassy_pastel-001,healthcare_clinic__glassy_pastel__r4RwXbr,0.5047673943342922,anthropic/claude-opus-4-7,0.5145858283737793,0.45627172943700983,0.6767259839359215,0.6446039055457786,0.9234552240546517
healthcare_clinic__glassy_pastel-001,healthcare_clinic__glassy_pastel__uDvCnEk,0.6372167218709156,anthropic/claude-opus-4-7,0.6037857229086977,0.4586053491359711,0.8165302584075469,0.8898492513550371,0.95715718692722
hotel_booking__photo_warm_display-001,hotel_booking__photo_warm_displa__CDcUe3u,0.6710296428072701,anthropic/claude-opus-4-7,0.6230048417874832,0.38847476845798845,0.7742740123207016,0.9002919628583845,0.9615563438553177
hotel_booking__photo_warm_display-001,hotel_booking__photo_warm_displa__Ex8YARg,0.5732815325037599,anthropic/claude-opus-4-7,0.6254295701174252,0.40568252163689394,0.7311598773306128,0.8485016940997561,0.7991996355582514
hotel_booking__photo_warm_display-001,hotel_booking__photo_warm_displa__FAPkKG4,0.5896901014174433,anthropic/claude-opus-4-7,0.6262169368032628,0.37231718867948516,0.7821894535467264,0.8911036792162986,0.7831903306599418
hotel_booking__photo_warm_display-001,hotel_booking__photo_warm_displa__GTXAW4g,0.6737187526404229,anthropic/claude-opus-4-7,0.6274898393060674,0.3937777393244629,0.7744584474936296,0.9025519741152062,0.9578597587570575
hotel_booking__photo_warm_display-001,hotel_booking__photo_warm_displa__HX7xavw,0.0,anthropic/claude-opus-4-7,0.0,0.0,0.0,0.0,0.0
hotel_booking__photo_warm_display-001,hotel_booking__photo_warm_displa__Mnyk29E,0.6676689513777677,anthropic/claude-opus-4-7,0.6110442924448489,0.3862592380715754,0.7948155233594028,0.9013199639807412,0.9278398425744909
hotel_booking__photo_warm_display-001,hotel_booking__photo_warm_displa__StxGQmy,0.5688542289612979,anthropic/claude-opus-4-7,0.5727113609477114,0.3878414902690236,0.7640911035563706,0.8891554508115462,0.7546907807058225
hotel_booking__photo_warm_display-001,hotel_booking__photo_warm_displa__V76sJQj,0.5813324396515566,anthropic/claude-opus-4-7,0.616778412541307,0.366410625581697,0.7961807718291171,0.9065567111572819,0.7714181321166075
hotel_booking__photo_warm_display-001,hotel_booking__photo_warm_displa__kpgYHnn,0.585358008985379,anthropic/claude-opus-4-7,0.6002960697428027,0.39826033505258934,0.6916794188038172,0.48500089585944955,0.9472094314048654
hotel_booking__photo_warm_display-001,hotel_booking__photo_warm_displa__v6a24Ha,0.5851445505041907,anthropic/claude-opus-4-7,0.6098219501834865,0.37593884259487365,0.7204098152849302,0.44581394058687757,0.9628081763037347
news_portal__editorial_dark-001,news_portal__editorial_dark-001__F4hZ2YD,0.0,anthropic/claude-opus-4-7,0.0,0.0,0.0,0.0,0.0
news_portal__editorial_dark-001,news_portal__editorial_dark-001__KMAWdWH,0.4725358442849486,anthropic/claude-opus-4-7,0.5430433572128501,0.33537997726755214,0.725640743854394,0.3916907971718638,0.21677017092059797
news_portal__editorial_dark-001,news_portal__editorial_dark-001__QrLj7bQ,0.45131216467046803,anthropic/claude-opus-4-7,0.536937020409439,0.3335325603936527,0.7086959668669527,0.39673667226490966,0.906540676711178
news_portal__editorial_dark-001,news_portal__editorial_dark-001__TBvUxWn,0.5671321817358176,anthropic/claude-opus-4-7,0.5908335929775537,0.3343671177417843,0.8316409078615661,0.7813737124619667,0.9181644476528956
news_portal__editorial_dark-001,news_portal__editorial_dark-001__ZxGGTSS,0.5658514487381542,anthropic/claude-opus-4-7,0.5724051210021486,0.3395418330156613,0.8042230117958571,0.7929181254641621,0.9619882612712052
news_portal__editorial_dark-001,news_portal__editorial_dark-001__dfdnuyg,0.4740492968881505,anthropic/claude-opus-4-7,0.5270272718499761,0.32462648888002366,0.7773951724797992,0.38276192544421,0.22264777649339113
news_portal__editorial_dark-001,news_portal__editorial_dark-001__oyVkz3W,0.5414309919519894,anthropic/claude-opus-4-7,0.6060719432268342,0.31610524885635705,0.7999491163139529,0.7417332822739089,0.8828780442831872
news_portal__editorial_dark-001,news_portal__editorial_dark-001__qXQw5Kx,0.0,anthropic/claude-opus-4-7,0.0,0.0,0.0,0.0,0.0
product_splash__crypto_neon-001,product_splash__crypto_neon-001__3nyxZp6,0.5942813782100232,anthropic/claude-opus-4-7,0.5803533744292156,0.4278655400976153,0.8061505831008053,0.7312872843111738,0.9405663501536458
product_splash__crypto_neon-001,product_splash__crypto_neon-001__Bxe5YLA,0.567878684386836,anthropic/claude-opus-4-7,0.5056086490248999,0.4264451492877746,0.7259257034159069,0.429387108945604,0.9935387537317225
product_splash__crypto_neon-001,product_splash__crypto_neon-001__JYh3Pxo,0.514338304042316,anthropic/claude-opus-4-7,0.5571797170888678,0.3995338188859678,0.7470572113537335,0.4395619650751211,0.9642856007642424
product_splash__crypto_neon-001,product_splash__crypto_neon-001__KjQmRSm,0.5550063765185865,anthropic/claude-opus-4-7,0.48378443162956447,0.3951283075473348,0.7078533912579899,0.4603639214704445,0.993768805257917
product_splash__crypto_neon-001,product_splash__crypto_neon-001__WAFWZHg,0.5670048095127346,anthropic/claude-opus-4-7,0.5491486120834987,0.4097775882368595,0.670539014246127,0.4335492768760274,0.993264836678037
product_splash__crypto_neon-001,product_splash__crypto_neon-001__jySbK7K,0.6365113567604982,anthropic/claude-opus-4-7,0.5464953534318593,0.41819933992762015,0.7969499825465713,0.7195994941804256,0.992329324791252
product_splash__crypto_neon-001,product_splash__crypto_neon-001__rHFKqNh,0.568183300026895,anthropic/claude-opus-4-7,0.4901701874652227,0.41573345352050967,0.7545305649082272,0.4415085074930073,0.9927327971348157
product_splash__crypto_neon-001,product_splash__crypto_neon-001__vPeS6oD,0.6015386417817711,anthropic/claude-opus-4-7,0.5905161766661017,0.42100816781480077,0.7741425566026664,0.4255060863815801,0.9935047181986749
product_splash__crypto_neon-001,product_splash__crypto_neon-001__wAdecfg,0.5729632069495881,anthropic/claude-opus-4-7,0.5590441732554391,0.41960316958383154,0.7915370531823283,0.7341990201574516,0.9189994071035977
