task,trial,score,n_pages,n_matched_avg,bm_position,bm_text,bm_color,bm_font,bm_border,bm_size,bm_recall,tree_bleu,visual_ssim
hotel_booking__photo_warm_display-001,hotel_booking__photo_warm_displa__qUjY2UP,0.6887130806001432,7.0,125.28571428571429,0.39890676818082804,0.9699880747425581,0.8633279051947065,0.8842706599745588,0.9968775628281382,0.700025266089314,0.9225999373930186,0.462911914228671,0.4426448809119264
hotel_booking__photo_warm_display-001,hotel_booking__photo_warm_displa__qusb4ET,0.5478802025393025,7.0,53.285714285714285,0.22140444743396656,0.8184219448706714,0.8109943419283617,0.804703285254966,0.9915614469155763,0.5703512727327001,0.5936453963910642,0.2549213820449462,0.4226340909187999
hotel_booking__photo_warm_display-001,hotel_booking__photo_warm_displa__s8VpB5S,0.6831447184234695,7.0,125.85714285714286,0.3930018284632215,0.9554196165906398,0.8810063806992197,0.8769490282184718,0.9909776625687595,0.6987178367289018,0.9213119110367288,0.448099324973484,0.42570791504939426
hotel_booking__photo_warm_display-001,hotel_booking__photo_warm_displa__zbJhqX7,0.631024035858544,7.0,126.57142857142857,0.24747906972701308,0.9693418773489109,0.8577635207890075,0.7607952181210047,0.9973048617414814,0.712071919390132,0.9315043518774989,0.36674680109420393,0.4025530327097791
news_portal__editorial_dark-001,news_portal__editorial_dark-001__3UjSFds,0.5240652788589802,6.0,44.166666666666664,0.28726665911477683,0.8309784687784704,0.8447499694174315,0.6731333867971379,0.9861166119324399,0.6015970233359127,0.4392946406922739,0.23324767652055825,0.33886917884831397
news_portal__editorial_dark-001,news_portal__editorial_dark-001__8KkWeWo,0.5105266827535878,6.0,51.5,0.23623808363438528,0.7996506583944715,0.7976337688340269,0.6773656599002886,0.9849403566973752,0.6149591505065971,0.4796772603941372,0.2368208597920944,0.3241739969581868
news_portal__editorial_dark-001,news_portal__editorial_dark-001__FibRG6a,0.5486001015244731,6.0,49.166666666666664,0.3321892490040237,0.8060294380998844,0.8221731505343083,0.7421609088506536,0.9806815079292104,0.6200105903655024,0.4430983720792032,0.30250942411710086,0.35780379952593444
news_portal__editorial_dark-001,news_portal__editorial_dark-001__GiooKmG,0.5456653807120585,6.0,46.666666666666664,0.3417994444956884,0.8461477816356832,0.8011295688434715,0.7516118167797625,0.9765590332539357,0.5914974130100052,0.42773309992250336,0.31721012748410643,0.2983191106737123
news_portal__editorial_dark-001,news_portal__editorial_dark-001__RT7WJgZ,0.6422622903248147,6.0,142.66666666666666,0.3755969359399191,0.9274851755992342,0.8443783864717219,0.8888937593318884,0.9795355571566898,0.6916030076566783,0.877511395710625,0.3685996020662756,0.326001102449702
news_portal__editorial_dark-001,news_portal__editorial_dark-001__n8CKkGA,0.5209146521711412,6.0,48.333333333333336,0.26685038055475535,0.7963129305598887,0.7976003484002471,0.64193433124114,0.9834138581813135,0.5914766488501083,0.4536328914871701,0.2958669997135253,0.3414110220479476
